,outerBrowRaiser,browLowerer,upperLidRaiser,cheekRaiser,lidTightener,NoseWrinkler,lipCornerPuller,dimpler,lipCornerDeppresser,lowerLipDeppresser,lipStretcher,lipTightener,jawDrop,emotions
0,27.75,24.0,11.25,83.0,11.25,65.0,114,4,38.5,34.33,34.33,114,79,Happiness
1,26.0,30.17,13.25,78.5,13.25,56.5,95,1,25.0,27.33,27.33,95,91,Happiness
2,26.0,30.5,12.5,86.0,12.5,55.0,90,4,40.5,50.33,50.33,90,91,Happiness
3,23.0,25.5,10.0,84.5,10.0,59.0,93,1,27.0,25.0,25.0,93,87,Happiness
4,21.0,24.33,9.75,79.0,9.75,57.5,97,0,36.0,34.0,34.0,97,87,Happiness
5,22.5,27.83,7.25,77.0,7.25,61.0,99,2,28.5,27.33,27.33,99,88,Happiness
6,28.75,43.17,5.5,83.5,5.5,43.0,91,1,27.0,51.67,51.67,91,102,Happiness
7,31.0,22.17,20.0,102.0,20.0,79.5,107,2,28.5,28.0,28.0,107,66,Happiness
8,18.25,25.0,13.75,75.0,13.75,61.0,85,0,40.5,41.67,41.67,85,83,Happiness
9,30.25,24.83,15.25,74.0,15.25,67.5,100,2,35.0,24.33,24.33,100,66,Happiness
10,30.75,25.0,15.5,74.5,15.5,67.0,102,3,40.5,31.0,31.0,102,74,Happiness
11,25.0,32.83,10.75,82.0,10.75,56.5,79,0,21.0,26.0,26.0,79,91,Happiness
12,26.5,39.5,6.0,90.5,6.0,52.0,78,1,17.0,28.67,28.67,78,95,Happiness
13,27.0,27.67,14.0,89.0,14.0,58.5,93,0,37.0,49.33,49.33,93,95,Happiness
14,23.0,31.67,6.5,75.0,6.5,48.0,114,2,30.5,35.0,35.0,114,97,Happiness
